Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1875736.03179874","1386.1","26.931656785532102","-12.16096324461344","-1.169340463458117","7.197219819635489","1.8578523451245708"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1409584.35783301","916.1","19.911563170163532","-7.4085304224782655","-0.28300859910743686","14.047097534079553","2.619322624118797"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1193194.5316101802","1984.7","35.5582004944013","-7.4602508509348535","-0.8740385575866546","25.908885247977484","7.774890296851911"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1144220.1775675","3162.5","23.566415619374702","-4.395537954593552","0.3840782122904999","51.90336201827997","11.947459852852115"
ICICI Bank Ltd,ICICIBANK,"Private Banks","960862.7985742801","1343.4","18.829673503949703","-1.4741474147414675","-0.15607580824971454","17.044528468970086","2.9228419207981653"
State Bank of India,SBIN,"Public Banks","950292.0804787","1029.5","12.252137508197722","5.616824826878687","-1.7980636237897563","16.57966960572751","1.8815332603893076"
Infosys Ltd,INFY,"IT Services & Consulting","675953.94818916","1670.8","25.30430682398682","0.2520100804032189","0.43883378418995816","28.931464714291902","7.026329201679365"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","576783.61888763","927.85","34.66701880941314","-8.160942294368002","-1.590921143341995","18.946202587861993","5.829813519382203"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","566134.0145789","2409.5","53.16311527644849","5.310314685314685","0.7905965029699695","21.08044975849236","11.411921517847567"
Larsen and Toubro Ltd,LT,"Construction & Engineering","514989.96685935993","3743.8","34.24793506593756","-8.498105829158007","-1.3179397965100954","13.798467139801561","4.462509053951832"
Life Insurance Corporation Of India,LICI,"Insurance","507549.44051674503","802.45","10.503848804773153","-6.190086509235437","-2.056633711705103","45.93116095254424","3.980665657101486"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","486349.3417206","15469","33.54087127905823","-7.31575793888556","-1.8775769108785283","15.945158209526376","5.053510464169227"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","461830.6063323","1707","26.5572516579816","1.971326164874552","0.22899418707064126","25.213129965783217","6.628544864327645"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","425375.52769992","3543.4","32.90062940962015","-2.034835499032345","-0.8478607605562786","14.972524720571585","4.565424479573593"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","420530.5620194","422.8","19.006180605676846","-1.8159862523802872","-0.7511737089201851","15.394079141994343","2.670215871863082"
ITC Ltd,ITC,"FMCG - Tobacco","405195.27818153996","323.4","11.661426681711003","-19.622219460668582","-0.4463598583961968","47.831412813357964","5.755783168961194"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","391547.4737543","1631.9","35.82633733194314","-7.4361883153715205","-0.1407416472891907","15.65631695122816","5.401701622925548"
Axis Bank Ltd,AXISBANK,"Private Banks","390655.2595534","1258","13.924567023740064","1.615508885298869","-2.8421377818968145","16.245299058540695","2.0793845229945997"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","363818.908761","12369","60.243795652173894","6.896551724137931","0.04043998705920414","9.001721460300363","4.923566999267594"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","356751.8626668","4021.8","106.90796004399161","1.8177215189873464","0.07962972179366627","31.755245753437695","30.690972356056434"
NTPC Ltd,NTPC,"Power Generation","326486.74873178","336.7","13.939046058005017","4.858299595141689","-1.6790772375529275","13.149637260833101","1.7082574853585146"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","311352.1955095","1949","35.09257403196011","-5.000974848898417","-2.2126335858712514","7.641623481633527","2.4242150671943143"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","308808.113669682","245.47","8.524582440861739","4.48644277018686","0.5983361337650129","9.872627096488188","0.8251713886972498"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","301450.00838232","1308.4","27.176486086515776","-13.402607717254616","-7.4812614905953865","18.517618582608744","4.628952973437228"
Bharat Electronics Ltd,BEL,"Electronic Equipments","300212.61650703","410.7","56.41567254484311","3.620537403809755","-1.581595974119344","29.289197137260363","15.016014066394302"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","295223.03853","698.7","28.515699655172416","15.002880421364512","4.556677890011231","72.59913747764804","22.15391254164791"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","287954.45175","4305.7","34.42730466288783","-2.1342849349941027","-1.091151336947533","26.0861496986136","8.230757539551758"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","285778.034685","1170","81.55765830051371","6.392652541602251","-1.2158054711246276","4.338190687251613","3.4966112160161518"
Vedanta Ltd,VEDL,"Metals - Diversified","267377.496456465","684.15","17.839437980815653","16.689408152822793","0.8104324762395934","31.283003903070277","4.974187421287462"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","262868.74078385","9413.5","35.887840341398196","2.6945944471717667","0.464247598719317","22.835842276921877","7.470249462792795"
Asian Paints Ltd,ASIANPAINT,"Paints","259175.14332432998","2703.7","70.67327201302615","-3.497876289395724","-0.003698498409659139","18.576375037896323","12.920609067943397"
Coal India Ltd,COALINDIA,"Mining - Coal","257848.55320167998","418.4","7.292476565570151","7.40598126042869","-1.1342155009451822","38.53066095781682","2.5797576104945352"
Adani Power Ltd,ADANIPOWER,"Power Generation","256409.30079767999","132.96","19.81713105632762","-7.16380393799748","-5.648594947487922","25.585441251409144","4.435215523896537"
Wipro Ltd,WIPRO,"IT Services & Consulting","249730.98557296002","238.4","19.01205791776118","-12.359385339313278","-0.9349677955537087","16.609532961995853","3.0071875215752484"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","249485.3067216","1293.8","77.77967468460753","2.943984723106302","-0.9341500765696819","87.26829998231547","62.21252919961796"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","238532.71340607997","3665.6","88.08380787663279","-4.011731433958318","-1.5708493327246853","13.4982419517078","11.132498863851177"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","236374.84605988502","254.15","15.228925026278809","-4.5625234697709365","-1.967213114754096","17.264467549594038","2.550913857025111"
Eternal Ltd,ETERNAL,"Online Services","235731.20995748998","258.7","447.3077987808159","-9.782040104620753","-6.234142805364259","2.078239608801956","7.777341140134938"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","234203.53524070096","187.61","68.4703553682639","10.743167463549979","-0.7879428873611743","3.722284541241344","2.5637264157773956"
