Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,08-09-2014,8132.95,8180.2,8126.15,8173.9,87.05,1.08,120694390,6623.08,21.73,3.56,1.24
CNX Nifty Junior,08-09-2014,17442.65,17593.5,17442.65,17581.8,214.55,1.24,75693169,2379.66,21.38,2.83,1.06
CNX 100,08-09-2014,8078.2,8127.05,8075.55,8122.4,88.35,1.1,196387559,9002.73,21.68,3.43,1.21
CNX 200,08-09-2014,4144.05,4169.65,4142.7,4167.55,46,1.12,517830892,12822.6,21.5,3.26,1.21
CNX 500,08-09-2014,6537.6,6580.8,6537.05,6578,75.7,1.16,736850346,15411.23,22.34,3.08,1.2
NIFTY Midcap 50,08-09-2014,3289.5,3323.65,3276.55,3318.85,50.8,1.55,171571018,3029.47,18.02,1.76,1.11
CNX Midcap,08-09-2014,11627.3,11732.15,11617.55,11726.05,157.9,1.36,204963406,4238.57,19.26,2.54,1.17
CNX Smallcap,08-09-2014,5150.15,5202.75,5149.2,5197.55,78.45,1.53,147630899,1667.71,18.53,1.39,1.31
CNX Nifty Dividend,08-09-2014,-,-,-,85.6,0,-,-,-,-,-,-
CNX Auto,08-09-2014,7857.6,7871.9,7806.7,7864.6,59,.76,43710931,1738.57,37.28,6.18,.86
CNX Bank,08-09-2014,16084.2,16222.55,16049.25,16206.7,224.2,1.4,20521106,1495.61,17.39,2.51,1.12
CNX Energy,08-09-2014,9949.5,9992.45,9941.7,9983.05,108.05,1.09,33719146,1087.55,13.66,1.97,1.66
CNX Finance,08-09-2014,6573.35,6596.45,6551,6589,59.15,.91,25665194,1784.15,18.8,2.92,1.17
CNX FMCG,08-09-2014,19250.35,19382.85,19191.25,19366.85,205.65,1.07,18921157,677.84,46.31,12.15,1.44
CNX IT,08-09-2014,11062.8,11182.5,11056.35,11167.75,142.2,1.29,12275490,979.72,21.71,6.54,1.29
CNX Media,08-09-2014,1947.05,1952,1932.55,1945.25,12.85,.66,14000819,168.23,52.23,4.71,.86
CNX Metal,08-09-2014,3157.4,3193.7,3151.35,3190.9,39.45,1.25,33515558,775.6,14.49,1.48,1.8
CNX MNC,08-09-2014,8325.6,8417.65,8316.25,8411.6,114.85,1.38,11637463,634.64,39.94,6.18,1.05
CNX Pharma,08-09-2014,10426.9,10496.45,10426.9,10485,100.55,.97,5402854,496.21,32.58,7.65,.64
CNX PSU Bank,08-09-2014,3569.4,3595.3,3547.5,3592.25,52.8,1.49,19141218,839.81,12.03,1.13,1.62
CNX Realty,08-09-2014,228.55,229.3,224.9,228.35,1.45,.64,58633248,401.73,34.42,1.17,.83
CNX Consumption,08-09-2014,3209.5,3220.45,3203.7,3218.3,28.05,.88,37426293,1862.22,36.6,5.12,1.02
CNX Commodities,08-09-2014,3010.65,3038.35,3009.4,3036.2,37.6,1.25,74540691,2513.21,15.86,1.9,1.75
CNX Dividend Opportunities,08-09-2014,2100.85,2107.4,2094.9,2106.05,19.3,.92,74708977,1972.39,14.71,2.31,2.4
CNX Infrastructure,08-09-2014,3239.35,3254.55,3232.9,3243.55,21.45,.67,208213465,2087.63,22.02,2.48,1.08
CNX PSE,08-09-2014,3735.85,3757.1,3730.85,3753.35,39,1.05,53663253,1256.09,11.93,2.22,2.51
CNX Service Sector,08-09-2014,9892.35,9938.75,9878.7,9928.6,89.1,.91,65722360,3321.12,19.18,3.26,1.23
CNX Nifty Shariah,08-09-2014,-,-,-,1842.14,22.31,1.23,23590457,1970.11,19.37,3.4,1
CNX 500 Shariah,08-09-2014,-,-,-,2036.35,26.75,1.33,109434975,4625.97,22.16,3.83,.95
CNX Low Volatility,08-09-2014,-,-,-,6417.73,67.93,1.07,48335276,3649.87,24.45,4.65,1.31
CNX Alpha Index,08-09-2014,-,-,-,7515.08,113.72,1.54,72239616,2524.1,28.07,3.86,.64
CNX High Beta,08-09-2014,-,-,-,1849.55,22.04,1.21,297562115,3822.31,13.78,1.02,1.54
CNX DEFTY,08-09-2014,-,-,-,4699.85,63.57,1.37,-,-,-,-,-
CNX 100 Equal Weight,08-09-2014,-,-,-,10079.22,112.37,1.13,196387559,9002.73,20.84,2.78,1.24
LIX 15,08-09-2014,3665.1,3694.35,3656.8,3690.45,43,1.18,45542161,2212.99,21.49,2.01,.98
CPSE,08-09-2014,2600.7,2635.3,2600.7,2632.25,43.9,1.7,16124740,656.41,11.14,2.7,2.51
NV 20,08-09-2014,-,-,-,3848.57,45.13,1.19,39625708,3056.76,16.54,2.7,1.55
LIX15 Midcap,08-09-2014,-,-,-,2962.36,41.08,1.41,73893112,1111.26,12.8,1.71,1.27
CNX Shariah25,08-09-2014,-,-,-,2990.22,37.57,1.27,21206564,1982.8,23.63,5.41,1.07
India VIX,08-09-2014,12.935,13.0725,12.1775,12.79,-.14,-1.1,-,-,-,-,-
NI15,08-09-2014,4703.85,4730.3,4695.15,4726.7,49.2,1.05,16759019,1890.41,30.78,8.65,1.2
NIFTY PR 2x Leverage,08-09-2014,-,-,-,3684.53,75.1,2.08,-,-,-,-,-
NIFTY PR 1X Inverse,08-09-2014,-,-,-,448.79,-4.55,-1,-,-,-,-,-
NIFTY TR 1X Inverse,08-09-2014,-,-,-,419.96,-4.29,-1.01,-,-,-,-,-
NIFTY TR 2X Leverage,08-09-2014,-,-,-,4205.58,86.31,2.1,-,-,-,-,-
GSEC10 NSE Index,08-09-2014,-,-,-,1255.1,.51,.04,-,-,-,-,-
