Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
CNX Nifty,23-03-2015,8591.55,8608.35,8540.55,8550.9,-20,-0.23,155425780,6195.45,22.92,3.64,1.28
CNX Nifty Junior,23-03-2015,19620.6,19632.15,19369.6,19404.85,-172,-0.88,50086301,2099.78,20.78,2.94,0.98
CNX 100,23-03-2015,8616.8,8631.1,8556.7,8567.45,-28.85,-0.34,205512081,8295.23,22.56,3.51,1.24
CNX 200,23-03-2015,4455.35,4462.05,4422.35,4427.8,-17.05,-0.38,462319851,10818.31,23.01,3.36,1.28
CNX 500,23-03-2015,7045.8,7053.1,6990.15,6997.6,-30.6,-0.44,615398522,12306.14,24.19,3.2,1.27
NIFTY Midcap 50,23-03-2015,3377.55,3383.2,3339.35,3355.85,-14.4,-0.43,140431409,1705.43,15.46,1.8,1.22
CNX Midcap,23-03-2015,13028.8,13031.45,12874.35,12907.55,-105.35,-0.81,194792753,2981.98,21.08,2.49,1.51
CNX Smallcap,23-03-2015,5557.5,5565.55,5479.6,5500.6,-31.35,-0.57,177121641,1345.12,102.12,1.47,1.51
CNX Nifty Dividend,23-03-2015,-,-,-,119.25,0,-,-,-,-,-,-
CNX Auto,23-03-2015,8604.3,8656.4,8560.1,8597.8,11.85,0.14,18626567,951.48,53.34,6.5,0.82
CNX Bank,23-03-2015,18695.05,18696.7,18409.9,18449,-157.35,-0.85,42987120,1577.49,19.26,2.89,0.97
CNX Energy,23-03-2015,8377.1,8421.3,8319.9,8335.2,-20.05,-0.24,25377587,682.69,12.16,1.56,2.08
CNX Finance,23-03-2015,7728.1,7728.1,7649.5,7664.4,-42.7,-0.55,46555840,1828.84,21.45,3.4,1
CNX FMCG,23-03-2015,20007.65,20100.45,19948,19999.2,-0.6,0,14131561,553.88,34.75,12.8,1.45
CNX IT,23-03-2015,12364.3,12443.25,12217.75,12244.45,-119.05,-0.96,15526314,1299.41,22.12,6.93,1.17
CNX Media,23-03-2015,2228.95,2243.5,2186.05,2197.45,-17.85,-0.81,4580213,99.33,52.54,5.21,0.84
CNX Metal,23-03-2015,2369.25,2376.55,2339.35,2373.5,7.5,0.32,52660555,931.34,13.77,1.19,4.13
